X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
127.364665,37.795516,경기,Charcoal,가평 항사리,나-21,고려문화재연구원,1800,50 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,-,고려문화재연구원,1820,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-15,고려문화재연구원,1864,39 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-13,고려문화재연구원,1940,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-12,고려문화재연구원,2020,50 ,呂·凸자형
127.364355,37.798158,경기,Charcoal,가평 항사리,2,한국문화재재단,1824,17,呂·凸자형
127.42479,37.786235,경기,Charcoal,강화 장정리,A-4-2,중원문화재연구원,2170,30,장방형
127.444691,37.518074,경기,Charcoal,고속국도 45호선 여주-양평 구간,KC-002,한국고고환경연구소,1750,60,呂·凸자형
127.064683,37.281607,경기,Charcoal,광교 신도시,11-1 ,기호문화재연구원,1780,20,방형
126.88443,37.430142,경기,Charcoal,광명 소하동,1 ,한국고고환경연구소,1750,50,방형
126.88443,37.430142,경기,Charcoal,광명 소하동,2 ,한국고고환경연구소,1890,50,방형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,34,고려문화재연구원,1690,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,29,고려문화재연구원,1690,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,31,고려문화재연구원,1720,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,3,고려문화재연구원,1730,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,20,고려문화재연구원,1730,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,30,고려문화재연구원,1740,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,22,고려문화재연구원,1750,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,23,고려문화재연구원,1790,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,28,고려문화재연구원,1800,30,呂·凸자형
127.347222,37.350278,경기,Charcoal,광주 곤지암리,18,고려문화재연구원,1810,30,呂·凸자형
127.251285,37.395281,경기,Charcoal,광주 역동,3,역사문화재연구원,1740,30,呂·凸자형
127.251734,37.395526,경기,Charcoal,광주 역동,주-5,한국문화유산연구원,1760,30,呂·凸자형
127.251734,37.395526,경기,Charcoal,광주 역동,주-4,한국문화유산연구원,1760,30,呂·凸자형
127.251734,37.395526,경기,Charcoal,광주 역동,주-3,한국문화유산연구원,1770,30,呂·凸자형
127.251619,37.3955,경기,Charcoal,광주 역동,3,한국문화유산연구원,1770,30,방형
127.251619,37.3955,경기,Charcoal,광주 역동,4,한국문화유산연구원,1760,30,呂·凸자형
127.251619,37.3955,경기,Charcoal,광주 역동,5,한국문화유산연구원,1760,30,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,19 ,경기문화재연구원,1630,19,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,10 ,경기문화재연구원,1685,20,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,24 ,경기문화재연구원,1690,25,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,20 ,경기문화재연구원,1714,19,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,17 ,경기문화재연구원,1720,20,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,14 ,경기문화재연구원,1727,15,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,16 ,경기문화재연구원,1740,20,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,22 ,경기문화재연구원,1788,19,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,12 ,경기문화재연구원,1818,15,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,18 ,경기문화재연구원,1830,20,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,11 ,경기문화재연구원,1840,50,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,21 ,경기문화재연구원,1855,20,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,15 ,경기문화재연구원,1892,19,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,13 ,경기문화재연구원,1905,25,呂·凸자형
127.243675,37.39228,경기,Charcoal,광주 장지동,9 ,경기문화재연구원,1950,20,呂·凸자형
127.135791,37.578845,경기,Charcoal,구리 토평동,F-10,서울문화유산연구원,1880,30,呂·凸자형
126.603468,37.688866,경기,Charcoal,김포 마송,4-1,기호문화재연구원,1185,25,신라
126.603468,37.688866,경기,Charcoal,김포 마송,4-12,기호문화재연구원,1210,20,신라
126.606339,37.686912,경기,Charcoal,김포 마송,3-2,기호문화재연구원,1293,15,신라
126.758611,37.593572,경기,Charcoal,김포 신곡리,1-삼국-1,중부고고학연구소,1578,28,방형
126.758611,37.593572,경기,Charcoal,김포 신곡리,1-삼국-2,중부고고학연구소,1527,25,呂·凸자형
126.635093,37.645535,경기,Charcoal,김포 양촌,2-4(가)-13 ,고려문화재연구원,1670,60,방형
126.635093,37.645535,경기,Charcoal,김포 양촌,2-4(가)-11 ,고려문화재연구원,1670,50,방형
126.635093,37.645535,경기,Charcoal,김포 양촌,2-4(가)-2 ,고려문화재연구원,1730,80,방형
126.635093,37.645535,경기,Charcoal,김포 양촌,2-4(나)-2 ,고려문화재연구원,1840,60,방형
